Work	speech_id	book	line	spkr	addr	string	lemma	is_voc_CLTK	eval_CLTK	what it should be	token_spacy	lemma_spacy	pos_spacy	case_spacy	eval_spacy
Odyssey	699	1	32	Zeus	gods	ὢ	ὅς	FALSE	true negative		ὢ	ὦ	INTJ		true negative
Odyssey	699	1	32	Zeus	gods	πόποι	πόπος	TRUE	false positive	no case	πόποι	πόποι	INTJ		true negative
Odyssey	699	1	32	Zeus	gods	οἷον	οἷος	FALSE	true negative		οἷον	οἷος	PRON	Acc	true negative
Odyssey	699	1	32	Zeus	gods	δή	δή	FALSE	true negative		δή	δή	PART		true negative
Odyssey	699	1	32	Zeus	gods	νυ	νυ	FALSE	true negative		νυ	νῦν	ADV		true negative
Odyssey	699	1	32	Zeus	gods	θεοὺς	θεός	FALSE	true negative		θεοὺς	θεός	NOUN	Acc	true negative
Odyssey	699	1	32	Zeus	gods	βροτοὶ	βροτοί	FALSE	true negative		βροτοὶ	βροτός	NOUN	Nom	true negative
Odyssey	699	1	32	Zeus	gods	αἰτιόωνται	αἰτιόω	FALSE	true negative		αἰτιόωνται	αἰτιόω	VERB		true negative
Odyssey	699	1	33	Zeus	gods	ἐξ	ἐκ	FALSE	true negative		ἐξ	ἐκ	ADP		true negative
Odyssey	699	1	33	Zeus	gods	ἡμέων	ἡμεῖς	FALSE	true negative		ἡμέων	ἡμεῖς	PRON	Gen	true negative
Odyssey	699	1	33	Zeus	gods	γάρ	γάρ	FALSE	true negative		γάρ	γάρ	ADV		true negative
Odyssey	699	1	33	Zeus	gods	φασι	φημί	FALSE	true negative		φασι	φημί	VERB		true negative
Odyssey	699	1	33	Zeus	gods	κάκʼ	κακός	FALSE	true negative		κάκʼ	κάκʼ	PUNCT		true negative
Odyssey	699	1	33	Zeus	gods	ἔμμεναι	ἔμμεναι	FALSE	true negative		ἔμμεναι	εἰμί	AUX		true negative
Odyssey	699	1	33	Zeus	gods	οἱ	ὁ	FALSE	true negative		οἱ	ὁ	PRON	Nom	true negative
Odyssey	699	1	33	Zeus	gods	δὲ	δέ	FALSE	true negative		δὲ	δέ	ADV		true negative
Odyssey	699	1	33	Zeus	gods	καὶ	καί	FALSE	true negative		καὶ	καί	ADV		true negative
Odyssey	699	1	33	Zeus	gods	αὐτοὶ	αὐτός	FALSE	true negative		αὐτοὶ	αὐτός	ADJ	Nom	true negative
Odyssey	699	1	34	Zeus	gods	σφῇσιν	σφῆρις	FALSE	true negative		σφῇσιν	σφός	ADJ	Dat	true negative
Odyssey	699	1	34	Zeus	gods	ἀτασθαλίῃσιν	ἀτασθαλία	FALSE	true negative		ἀτασθαλίῃσιν	ἀτασθαλία	NOUN	Dat	true negative
Odyssey	699	1	34	Zeus	gods	ὑπὲρ	ὑπέρ	FALSE	true negative		ὑπὲρ	ὑπέρ	ADP		true negative
Odyssey	699	1	34	Zeus	gods	μόρον	μόρος	FALSE	true negative		μόρον	μόρος	NOUN	Acc	true negative
Odyssey	699	1	34	Zeus	gods	ἄλγεʼ	ἄλγος	FALSE	true negative		ἄλγεʼ	ἄλγεʼ	VERB		true negative
Odyssey	699	1	34	Zeus	gods	ἔχουσιν	ἔχω	FALSE	true negative		ἔχουσιν	ἔχω	VERB		true negative
Odyssey	699	1	35	Zeus	gods	ὡς	ὡς	FALSE	true negative		ὡς	ὡς	ADV		true negative
